idComponentes,Referencia,Categoria,Tipo,Fabricante,DistribuidorHabitual,"Potencia (kW)","IntensidadNominal (A)","IntensidadMin (A)","IntensidadMax (A)","VoltajeNominal (V)","VoltajeMin (V)","VoltajeMax (V)","VoltajeSecundario (V)","Altura (mm)","Anchura (mm)","Profundidad (mm)","Peso (kg)"
1,GV2ME01,POT,Q,SE,NULL,0.06,NULL,0.16,0.01,400,NULL,690,NULL,89,45,78.5,0.26
2,GV2ME02,POT,Q,SE,NULL,0.06,NULL,0.25,0.16,400,NULL,690,NULL,89,45,78.5,0.26
3,GV2ME03,POT,Q,SE,NULL,0.09,NULL,0.4,0.25,400,NULL,690,NULL,89,45,78.5,0.26
4,GV2ME04,POT,Q,SE,NULL,0.18,NULL,0.63,0.4,400,NULL,690,NULL,89,45,78.5,0.26
5,GV2ME05,POT,Q,SE,NULL,0.25,NULL,1,0.63,400,NULL,690,NULL,89,45,78.5,0.26
6,GV2ME06,POT,Q,SE,NULL,0.55,NULL,1.6,1,400,NULL,690,NULL,89,45,78.5,0.26
7,GV2ME07,POT,Q,SE,NULL,0.75,NULL,2.5,1.6,400,NULL,690,NULL,89,45,78.5,0.26
8,GV2ME08,POT,Q,SE,NULL,1.5,NULL,4,2.5,400,NULL,690,NULL,89,45,78.5,0.26
9,GV2ME10,POT,Q,SE,NULL,2.2,NULL,6.3,4,400,NULL,690,NULL,89,45,78.5,0.26
10,GV2ME14,POT,Q,SE,NULL,4,NULL,10,6,400,NULL,690,NULL,89,45,78.5,0.26
11,GV2ME16,POT,Q,SE,NULL,5.5,NULL,14,9,400,NULL,690,NULL,89,45,78.5,0.26
12,GV2ME20,POT,Q,SE,NULL,7.5,NULL,18,13,400,NULL,690,NULL,89,45,78.5,0.26
13,GV2ME21,POT,Q,SE,NULL,9,NULL,23,17,400,NULL,690,NULL,89,45,78.5,0.26
14,GV2ME22,POT,Q,SE,NULL,11,NULL,25,20,400,NULL,690,NULL,89,45,78.5,0.26
15,GV2ME32,POT,Q,SE,NULL,15,NULL,32,24,400,NULL,690,NULL,89,45,78.5,0.26
16,GV3P40,POT,Q,SE,NULL,18.5,NULL,40,30,400,NULL,690,NULL,132,55,136,0.96
17,GV3P50,POT,Q,SE,NULL,22,NULL,50,37,400,NULL,690,NULL,132,55,136,0.96
18,GV3P65,POT,Q,SE,NULL,30,NULL,65,48,400,NULL,690,NULL,132,55,136,0.96
19,GV3P73,POT,Q,SE,NULL,37,NULL,73,62,400,NULL,690,NULL,132,55,136,0.96
20,GV3P80,POT,Q,SE,NULL,45,NULL,80,70,400,NULL,690,NULL,132,55,136,0.96
21,LC1D09P7,POT,Q,SE,NULL,4,NULL,NULL,9,400,NULL,690,230,77,45,86,0.32
22,LC1D12P7,POT,K,SE,NULL,5.5,NULL,NULL,12,400,NULL,690,230,77,45,86,0.32
23,LC1D18P7,POT,K,SE,NULL,7.5,NULL,NULL,18,400,NULL,690,230,77,45,86,0.32
24,LC1D25P7,POT,K,SE,NULL,11,NULL,NULL,25,400,NULL,690,230,85,45,92,0.37
25,LC1D32P7,POT,K,SE,NULL,15,NULL,NULL,32,400,NULL,690,230,85,45,92,0.37
26,LC1D38P7,POT,K,SE,NULL,18.5,NULL,NULL,38,400,NULL,690,230,85,45,92,0.37
27,LC1D40AP7,POT,K,SE,NULL,18.5,NULL,NULL,40,400,NULL,690,230,122,55,120,0.85
28,LC1D50AP7,POT,K,SE,NULL,22,NULL,NULL,50,400,NULL,690,230,122,55,120,0.85
29,LC1D65AP7,POT,K,SE,NULL,22,NULL,NULL,65,400,NULL,690,230,122,55,120,0.85
30,LC1D80AP7,POT,K,SE,NULL,37,NULL,NULL,80,400,NULL,690,230,122,55,120,0.85
31,ATS01N206QN,POT,SS,SE,NULL,3,NULL,NULL,6,400,380,415,24,124,45,131,0.42
32,ATS01N209QN,POT,SS,SE,NULL,4,NULL,NULL,9,400,380,415,24,124,45,131,0.42
33,ATS01N212QN,POT,SS,SE,NULL,5.5,NULL,NULL,12,400,380,415,24,124,45,131,0.42
34,ATS01N222QN,POT,SS,SE,NULL,11,NULL,NULL,22,400,380,415,24,154,45,131,0.56
35,ATS01N232QN,POT,SS,SE,NULL,15,NULL,NULL,32,400,380,415,24,154,45,131,0.56
36,ATS130N2D38LT,POT,SS,SE,NULL,22,NULL,NULL,38,400,200,480,24,166,55,165,1.3
37,ATS130N2D45LT,POT,SS,SE,NULL,22,NULL,NULL,45,400,200,480,24,166,55,165,1.3
38,ATS130N2D65LT,POT,SS,SE,NULL,37,NULL,NULL,65,400,200,480,24,166,55,165,1.3
39,ATS130N2D73LT,POT,SS,SE,NULL,45,NULL,NULL,73,400,200,480,24,166,55,165,1.3
40,ATS130N2D80LT,POT,SS,SE,NULL,45,NULL,NULL,80,400,200,480,24,197,81,180,2.3
41,ATS130N2C11LT,POT,SS,SE,NULL,55,NULL,NULL,105,400,200,480,24,197,81,180,2.3
42,LZ2H2X43BD,POT,IN,SE,NULL,0.75,NULL,1.5,9,400,NULL,500,24,99,22.5,114.5,0.21
43,LZ2H6X53BD,POT,IN,SE,NULL,3,NULL,0.18,2.4,400,NULL,500,24,99,22.5,114.5,0.21
